사이트명,URL,중요도,확인영역,무시영역,다음버튼,탭버튼,모바일
홈 상시 387,https://www.lguplus.com/benefit-event/ongoing/387,상,,,,,
홈 상시 80,https://www.lguplus.com/benefit-event/ongoing/80,상,,,,,
홈 실속 80820,https://www.lguplus.com/benefit-event/ongoing/80820,상,,,,,
홈 너겟 121,https://www.lguplus.com/benefit-event/ongoing/121,상,,,,,
소호 메인,https://www.lguplus.com/internet-iptv/soho,상,,,,,
소호 혜택 82075,https://www.lguplus.com/internet-iptv/soho/event/82075,상,,,,,
홈 상시 387 (모바일),https://m.lguplus.com/benefit-event/ongoing/387,상,,,,,Y
홈 상시 80 (모바일),https://m.lguplus.com/benefit-event/ongoing/80,상,,,,,Y
홈 실속 80820 (모바일),https://m.lguplus.com/benefit-event/ongoing/80820,상,,,,,Y
홈 너겟 121 (모바일),https://m.lguplus.com/benefit-event/ongoing/121,상,,,,,Y
소호 메인 (모바일),https://m.lguplus.com/internet-iptv/soho,상,,,,,Y
소호 혜택 82075 (모바일),https://m.lguplus.com/internet-iptv/soho/event/82075,상,,,,,Y
